City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,288.15,55,40,15.43,scattered clouds
1,Georgetown,MY,5.4112,100.3354,301.15,78,20,1.03,few clouds
2,Jamestown,US,42.097,-79.2353,271.48,86,90,3.6,light snow
3,Mirnyy,RU,62.5353,113.9611,235.81,82,100,2.93,overcast clouds
4,Qaanaaq,GL,77.484,-69.3632,249.31,80,78,2.45,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,292.15,59,0,6.69,clear sky
6,Khandbari,NP,27.3747,87.2039,283.1,58,49,1.11,scattered clouds
7,Quang Ngai,VN,15.1167,108.8,292.28,90,7,1.68,clear sky
8,Ushuaia,AR,-54.8,-68.3,284.15,71,20,13.89,few clouds
9,Port Alfred,ZA,-33.5906,26.891,292.59,70,75,4.41,broken clouds
10,Krasnoselkup,RU,65.7,82.4667,247.43,87,98,5.56,overcast clouds
11,Hobart,AU,-42.8794,147.3294,286.15,71,40,3.6,scattered clouds
12,Pevek,RU,69.7008,170.3133,255.85,89,100,3.9,light snow
13,Vaini,TO,-21.2,-175.2,297.15,100,90,12.86,moderate rain
14,Busselton,AU,-33.65,115.3333,293.15,68,0,0.89,clear sky
15,Atuona,PF,-9.8,-139.0333,298.97,74,6,7.49,clear sky
16,Kirakira,SB,-10.4544,161.9205,300.67,81,100,11.15,overcast clouds
17,Goderich,CA,43.7501,-81.7165,266.15,58,99,3.6,overcast clouds
18,Albany,US,42.6001,-73.9662,268.15,52,99,2.93,overcast clouds
19,Hasaki,JP,35.7333,140.8333,286.15,76,75,3.09,broken clouds
20,Tiznit,MA,29.5833,-9.5,296.92,35,0,2.25,clear sky
21,Bluff,NZ,-46.6,168.3333,285.75,91,14,3.11,few clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,303.15,66,0,5.14,clear sky
23,Mackay,AU,-21.15,149.2,295.15,88,75,2.06,broken clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,306.15,51,0,6.17,clear sky
25,Luderitz,NA,-26.6481,15.1594,295.12,64,0,10.74,clear sky
26,Nikolskoye,RU,59.7035,30.7861,270.15,80,40,6.0,scattered clouds
27,Cabo San Lucas,MX,22.8909,-109.9124,297.59,83,75,3.09,broken clouds
28,Dehloran,IR,32.6941,47.2679,288.36,39,0,1.14,clear sky
29,Mahebourg,MU,-20.4081,57.7,300.15,89,75,3.6,light rain
30,Khani,GE,41.9563,42.9566,287.15,35,0,6.17,clear sky
31,Garden City,US,42.3256,-83.331,272.59,74,90,6.17,light snow
32,Saldanha,ZA,-33.0117,17.9442,300.15,34,0,7.2,clear sky
33,Tepla,CZ,49.98,12.8643,270.15,93,90,2.57,light snow
34,Antalaha,MG,-14.9003,50.2788,299.46,84,67,3.94,light rain
35,Nuuk,GL,64.1835,-51.7216,265.15,86,75,6.17,snow
36,Geraldton,AU,-28.7667,114.6,304.15,35,75,3.6,broken clouds
37,Marakkanam,IN,12.2,79.95,297.57,79,0,5.98,clear sky
38,Osoyoos,CA,49.0331,-119.4524,278.15,93,100,1.54,overcast clouds
39,Ulaangom,MN,49.9811,92.0667,249.99,89,100,0.75,overcast clouds
40,Mar Del Plata,AR,-38.0023,-57.5575,294.15,68,75,7.2,light rain
41,Hermanus,ZA,-34.4187,19.2345,293.71,63,0,3.13,clear sky
42,Lumut,MY,4.2323,100.6298,298.71,94,40,2.06,light rain
43,Mudanjiang,CN,44.5833,129.6,246.97,82,6,2.13,clear sky
44,Hofn,IS,64.2539,-15.2082,274.15,69,75,4.63,broken clouds
45,Faanui,PF,-16.4833,-151.75,300.3,75,100,5.66,overcast clouds
46,Fortuna Foothills,US,32.6578,-114.4119,290.93,31,1,5.66,clear sky
47,Vestmannaeyjar,IS,63.4427,-20.2734,275.15,80,20,8.75,few clouds
48,Longyearbyen,SJ,78.2186,15.6401,263.15,73,90,3.09,light snow
49,Rikitea,PF,-23.1203,-134.9692,298.39,79,50,7.63,moderate rain
50,Carnarvon,AU,-24.8667,113.6333,303.15,58,90,8.75,overcast clouds
51,Yerbogachen,RU,61.2767,108.0108,234.75,80,4,2.11,clear sky
52,Lovozero,RU,68.005,35.0117,260.02,94,93,2.61,overcast clouds
53,Kloulklubed,PW,7.0419,134.2556,299.15,83,75,2.06,broken clouds
54,Zhangye,CN,38.9342,100.4517,268.88,68,0,2.63,clear sky
55,Telimele,GN,10.9167,-13.3333,310.86,9,0,0.26,clear sky
56,Yellowknife,CA,62.456,-114.3525,253.15,77,75,3.6,light snow
