City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-01-28 04:27:11,-54.8,-68.3,41.0,70,40,8.05
1,Upernavik,GL,2021-01-28 04:22:21,72.7868,-56.1549,-6.18,91,91,6.71
2,Mar Del Plata,AR,2021-01-28 04:24:13,-38.0023,-57.5575,64.99,77,90,6.91
3,Port Elizabeth,ZA,2021-01-28 04:26:40,-33.918,25.5701,57.2,88,0,4.61
4,Norwich,GB,2021-01-28 04:27:11,52.6278,1.2983,42.8,93,90,9.22
5,Jamestown,US,2021-01-28 04:27:11,42.097,-79.2353,21.0,93,90,6.46
6,Qaanaaq,GL,2021-01-28 04:27:11,77.484,-69.3632,-14.91,66,0,7.96
7,Suez,EG,2021-01-28 04:22:59,29.9737,32.5263,52.61,72,29,8.34
8,Henties Bay,NA,2021-01-28 04:27:12,-22.116,14.2845,68.0,86,2,4.92
9,Arraial Do Cabo,BR,2021-01-28 04:27:12,-22.9661,-42.0278,76.6,83,100,24.07
10,Salta,AR,2021-01-28 04:22:20,-24.7859,-65.4117,62.6,82,0,4.61
11,Touros,BR,2021-01-28 04:27:12,-5.1989,-35.4608,78.8,78,20,8.05
12,Dwarka,IN,2021-01-28 04:27:13,22.2394,68.9678,68.54,42,0,13.82
13,Cape Town,ZA,2021-01-28 04:27:08,-33.9258,18.4232,63.0,77,0,11.5
14,Nanortalik,GL,2021-01-28 04:27:13,60.1432,-45.2371,24.96,93,100,4.23
15,Mahebourg,MU,2021-01-28 04:27:13,-20.4081,57.7,80.6,78,20,3.44
16,Vila Velha,BR,2021-01-28 04:22:18,-20.3297,-40.2925,77.0,83,20,5.75
17,Port Alfred,ZA,2021-01-28 04:27:13,-33.5906,26.891,63.0,83,25,1.99
18,Muzhi,RU,2021-01-28 04:27:14,65.3667,64.6667,-17.75,88,100,9.64
19,Banda Aceh,ID,2021-01-28 04:27:14,5.5577,95.3222,83.84,70,97,12.19
20,Kalabo,ZM,2021-01-28 04:27:14,-14.97,22.6814,63.43,96,100,5.5
21,Rocha,UY,2021-01-28 04:22:57,-34.4833,-54.3333,59.92,89,0,2.35
22,Vestmannaeyjar,IS,2021-01-28 04:27:14,63.4427,-20.2734,32.52,90,61,18.61
23,Orocue,CO,2021-01-28 04:27:15,4.7912,-71.3354,78.67,60,51,7.05
24,Bentiu,SS,2021-01-28 04:27:15,9.2333,29.8333,70.27,30,26,0.87
25,Bathsheba,BB,2021-01-28 04:27:15,13.2167,-59.5167,78.8,65,20,20.71
26,Villazon,BO,2021-01-28 04:27:15,-22.0866,-65.5942,49.66,70,19,6.87
27,Saint George,US,2021-01-28 04:26:59,37.1041,-113.5841,41.0,52,90,3.44
28,Hermanus,ZA,2021-01-28 04:27:15,-34.4187,19.2345,52.0,92,3,6.11
29,Stephenville,US,2021-01-28 04:27:16,32.2207,-98.2023,35.6,80,1,4.61
